Implementing Agency,Lead Organization,Org Type,District,Sub Dstrict,Village,Admin Level 5,Sector/Cluster,Sub Sector,Status,Activity Details,Start Date,End Date,Total Beneficiaries Reached (HOUSEHOLD),Total Beneficiaries Planned (HOUSEHOLD),Primary Beneficiary Type,# of Primary Beneficiaries,Activity Description,Material Provided
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,Education,Oct-21-2018,Oct-27-2018,,,Adolescents,15,Reproductive health services,RH session
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,FP services,Oct-21-2018,Oct-27-2018,,,People,1,Reproductive health services,Family Planning
IBI/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,2,Reproductive health services,Newborn examination
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Balaroa,Donggala Kodi / Balaroa,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,10,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,36,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Balaroa,Donggala Kodi / Balaroa,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,1,Referral services for emergency obstetric case,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,7,Referral services for emergency obstetric case,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Referral,Oct-21-2018,Oct-27-2018,,,Pregnant women,1,Kits distribution,Referral services
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,Pregnant women,20,RH education,Pregnant women kit
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,delivery mothers,11,RH education,Post-delivery kits
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,Baby,32,RH education,Newborn kits
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,Midwives,2,FP services,Midwifery kits
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Education,Oct-21-2018,Oct-27-2018,,,Female and male adults,50,Reproductive health services,RH education
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Education,Oct-21-2018,Oct-27-2018,,,Adolescent,13,Reproductive health services,RH education
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Balaroa,Donggala Kodi / Balaroa,Health,Reproductive Health,Completed,FP services,Oct-21-2018,Oct-27-2018,,,People,7,Reproductive health services,FP services
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,FP services,Oct-21-2018,Oct-27-2018,,,People,5,Reproductive health services,FP services
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Balaroa,Donggala Kodi / Balaroa,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,1,Assessment for RH tent establishment,Neonatal check
IBI/Dinkes/UNFPA,,Government,Palu,Palu Barat,Baru,Masjid Agung,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,9,Reproductive health services,Neonatal check
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,11,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,1,Referral services for emergency obstetric case,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,delivery mothers,5,FP services,Post-delivery kits
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,Kits distribution,Oct-21-2018,Oct-27-2018,,,Baby,9,FP services,Newborn kits
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,FP services,Oct-21-2018,Oct-27-2018,,,People,9,Reproductive health services,FP services
IBI/Dinkes/UNFPA,,Government,Palu,Palu Selatan,Petobo,Petobo,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,1,Reproductive health services,Neonatal check
IBI/Dinkes/UNFPA,,Government,Palu,Palu Utara,Kayumalue Pajeko,Kayumalue,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,1,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Palu,Palu Utara,Kayumalue Pajeko,Kayumalue,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,2,Kits distribution,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Sigi,Sigi Biromaru,Mpanau,Sigi Biromaru,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,15,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Sigi,Sigi Biromaru,Mpanau,Sigi Biromaru,Health,Reproductive Health,Completed,Post Natal Care (PNC),Oct-21-2018,Oct-27-2018,,,delivery mothers,1,Kits distribution,Post Natal Care (PNC)
IBI/Dinkes/UNFPA,,Government,Sigi,Sigi Biromaru,Mpanau,Sigi Biromaru,Health,Reproductive Health,Completed,Referral,Oct-21-2018,Oct-27-2018,,,Pregnant women,4,Kits distribution,Referral services
IBI/Dinkes/UNFPA,,Government,Sigi,Sigi Biromaru,Mpanau,Sigi Biromaru,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,8,Rapid assessment,Neonatal check
IBI/Dinkes/UNFPA,,Government,Donggala,Sindue,Toaya,Toaya,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,1,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Donggala,Sindue Tombusabora,Batusuya,Batusuya,Health,Reproductive Health,Completed,Ante Natal Care (ANC),Oct-21-2018,Oct-27-2018,,,Pregnant women,1,Reproductive health services,Ante Natal Care (ANC)
IBI/Dinkes/UNFPA,,Government,Donggala,Sindue Tombusabora,Batusuya,Batususya Health Center,Health,Reproductive Health,Completed,Establish RH tent,Oct-26-2018,Oct-26-2018,,,"WRA, pregnant women and delivery mothers ",25% of IDPs,Rapid assessment,RH tent
IBI/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo,Health,Reproductive Health,Completed,FP services,Oct-21-2018,Oct-27-2018,,,People,5,Establishment of RH tent,FP services
IBI/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo,Health,Reproductive Health,Completed,Neonatal care,Oct-21-2018,Oct-27-2018,,,Baby,1,Reproductive health services,Neonatal check
Indonesia AIDS Coalition (IAC),,National NGOs,Donggala,Banawa,Maleni,DHO,Health,Reproductive Health,Completed,Distribution,Oct-27-2018,Oct-27-2018,,,PLWHA,9,RH education,Logistics support
Indonesia AIDS Coalition (IAC),,National NGOs,Sigi,Dolo,Soulowe,Soulowe,Health,Reproductive Health,Completed,ARV Distribution,Oct-08-2018,Oct-08-2018,,,"1 PLHIV, 2 Child With HIV, 1 mother (high risk cople)",5,Outreach,"Psychosocial support, logistic distribution"
Indonesia AIDS Coalition (IAC),,National NGOs,Sigi,Dolo,Soulowe,Posko desa soulowe,Health,Reproductive Health,Completed,Distribution,Oct-26-2018,Oct-26-2018,,,PLWHA,4,RH education,4 logistics package
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Mantikulore,Talise,RSUD Undata,Health,Reproductive Health,Completed,Coordination update data,Oct-21-2018,Oct-21-2018,,,PLWHA,67,ARH services,None
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Palu Barat,Siranindi,RSUD Anutapura,Health,Reproductive Health,Completed,Assist PLWHA child,Oct-22-2018,Oct-22-2018,,,Newborn baby from positive mother,2,Reproductive health services,Support for HIV Prophylaxix
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Palu Barat,Balaroa,Asam dua,Health,Reproductive Health,Completed,ARV distribution,Oct-14-2018,Oct-14-2018,,,PLHIV,2,Outreach,3 FDC of ARV
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Palu Timur,Lolu Selatan,Lolu Selatan,Health,Reproductive Health,Completed,ARV Distribution,Oct-10-2018,Oct-10-2018,,,PLHIV,3,Outreach,"ARV delivered, Psychosocial support, logistic distribution"
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Palu Timur,Besusu Timur,Lapangan Vatulemo,Health,Reproductive Health,Completed,Psychosocial Support and giving information about HIV to teenager and chil,Oct-12-2018,Oct-12-2018,,,,,Psychosocial support and HIV Education,
Indonesia AIDS Coalition (IAC),,National NGOs,Parigi Moutong,Parigi,Bambalemo,RSUD Anutaloko,Health,Reproductive Health,Completed,Coordination with district AIDS commission,Oct-23-2018,Oct-23-2018,,,PLWHA,16,Reproductive health services,None
Indonesia AIDS Coalition (IAC),,National NGOs,Sigi,Sigi Biromaru,Jono Oge,RSUD Tora Belo,Health,Reproductive Health,Completed,Coordination,Oct-25-2018,Oct-25-2018,,,PLWHA's child,1,Kits distribution,None
Indonesia AIDS Coalition (IAC),,National NGOs,Donggala,Sindue Tombusabora,Batusuya Go'O,Batusuya Go,Health,Reproductive Health,Completed,ARV Distribution,Oct-11-2018,Oct-11-2018,,,PLHIV,1,Outreach,ARV FDC
Indonesia AIDS Coalition (IAC),,National NGOs,Palu,Tawaeli,Lambara,Lambara,Health,Reproductive Health,Completed,ARV Distribution,Oct-09-2018,Oct-09-2018,,,PLHIV,1,Outreach,"ARV delivered, Psychosocial support, logistic distribution"
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Bomba,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,Kits distribution,Oct-09-2018,Oct-09-2018,,,"WRA, Pregnant Mother, Post delivery mother",17,Kits distribution,"Maternity kit 11, Post delivery kit 2, New born baby kit 2, mosquito net for baby 2"
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,RH tent established,Oct-09-2018,Oct-09-2018,,,"WRA, Pregnant Mother, Post delivery mother",501,Establishment of RH tent,RH Tent
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,RH session,Oct-09-2018,Oct-09-2018,,,"WRA, Pregnant Mother, Post delivery mother",38,Awareness,None - facilitate learning session
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,RH session,Oct-09-2018,Oct-09-2018,,,"WRA, Pregnant Mother, Post delivery mother",501,Establishment of RH tent,None - facilitate learning session
Kemenkes/Dinkes/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Health,Reproductive Health,Completed,ANC and FP services,Oct-09-2018,Oct-09-2018,,,"WRA, Pregnant Mother, Post delivery mother",38,Awareness,"None - contraceptives, medicine, additional food for pregnant mother"
Kemenkes/Dinkes/UNFPA,,Government,Palu,Palu Barat,Siranindi,RH tent Mesjid Agung,Health,Reproductive Health,Completed,"assessment, coordination and Establish RH tent",Oct-11-2018,Oct-15-2018,,,Woman at reproductive age,25% out of total IDPs population,Establishment of RH tent,RH tent
Kemenkes/Dinkes/UNFPA,,Government,Palu,Palu Barat,Siranindi,RH tent Mesjid Agung,Health,Reproductive Health,Completed,"assessment, coordination and Establish RH tent",Oct-11-2018,Oct-15-2018,,,Woman at reproductive age,25% out of total IDPs population,Establishment of RH tent,RH tent
Kemenkes/Dinkes/UNFPA,,Government,Palu,Palu Timur,Besusu Timur,RH tent Vatulemo,Health,Reproductive Health,Completed,"assessment, coordination and Establish RH tent",Oct-11-2018,Oct-15-2018,,,Woman at reproductive age,25% out of total IDPs population,Establishment of RH tent,RH tent
Kemenkes/Dinkes/UNFPA,,Government,Palu,Palu Timur,Besusu Timur,RH tent Vatulemo,Health,Reproductive Health,Completed,"assessment, coordination and Establish RH tent",Oct-11-2018,Oct-15-2018,,,Woman at reproductive age,25% out of total IDPs population,Establishment of RH tent,RH tent
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wani I,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wani Ii,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,Health,Reproductive Health,Completed,Kits distribution,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",16,Kits distribution,"Maternity kit 10, Post delivery kit 2, New born baby kit 2, mosquito net for baby 2"
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,Health,Reproductive Health,Completed,RH tent established,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",826,Establishment of RH tent,RH Tent
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,Health,Reproductive Health,Completed,RH session,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",35,Awareness,None - facilitate learning session
Kemenkes/Dinkes/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,Wombo Yard,Health,Reproductive Health,Completed,ANC and FP services,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",28,RH services,"Contraceptives, medicine, additional food for pregnant mother"
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Health,Reproductive Health,Completed,assessment,Sep-08-2018,Sep-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Health,Reproductive Health,Completed,assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,Health,Reproductive Health,Completed,Kits distribution,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",17,Kits distribution,"Maternity kit 11, Post delivery kit 2, New born baby kit 2, mosquito net for baby 2"
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,Health,Reproductive Health,Completed,RH tent established,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",3251,Establishment of RH tent,RH Tent
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,Health,Reproductive Health,Completed,RH session,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",35,Awareness,None - facilitate learning session
Kemenkes/Dinkes/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Donggala Kodi Atas,Health,Reproductive Health,Completed,ANC and FP services,Oct-10-2018,Oct-10-2018,,,"WRA, Pregnant Mother, Post delivery mother",35,Awareness,"None - contraceptives, medicine, additional food for pregnant mother"
KPPPA/DP3A/UNFPA,,Government,Sigi,Marawola,Beka,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Sigi,Marawola,Bomba,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Sigi,Marawola,Beka,Beka Yard,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Donggala,Tanantovea,Wombo,,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Donggala,Tanantovea,Wani I,,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Donggala,Tanantovea,Wani Ii,,Protection,Protection of  WomenÕs Rights,Completed,Selected as Women Friendly Space,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother","513 Household, 1.300 People",Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Donggala,Tanantovea,Wombo Kalonggo,,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA,,Government,Palu,Ulujadi,Donggala Kodi,Health Center,Protection,Protection of  WomenÕs Rights,Completed,Women Friendly Space field  assessment,Oct-08-2018,Oct-08-2018,,,"WRA, Pregnant Mother, Post delivery mother",,Assement,None - direct assesment
KPPPA/DP3A/UNFPA/KPKPST,,Government,Sigi,Marawola,Beka,,Protection,Protection of  WomenÕs Rights,Completed,WFS Tent Establishment,Oct-19-2018,Oct-19-2018,,,Women and Girls,,WFS Tent Establishment,"Tent, banner"
LAZNAS BSMU/Kidzsmile,,National NGOs,Palu,Balaroa,,,Nutrition,IYCF-E,Completed,Public Kitchen,,,,,,,,
LAZNAS BSMU/Kidzsmile,,National NGOs,Palu,Dinsos Prov Sulteng,,,Nutrition,IYCF-E,Completed,Public Kitchen,,,,,U-5 children,,,
LAZNAS BSMU/Kidzsmile,,National NGOs,Palu,Kawatuna,,,Nutrition,IYCF-E,Completed,Public Kitchen,,,,,U-5 children,,,
LAZNAS BSMU/Kidzsmile,,National NGOs,Palu,Rujab Bupati Donggala,,,Nutrition,IYCF-E,Completed,Public Kitchen,Jan-11-2018,Jun-12-2018,,,U-5 children,,,
LAZNAS BSMU/Kidzsmile,,National NGOs,Palu,Vatulemo,,,Nutrition,IYCF-E,Completed,Public Kitchen,,,,,U-5 children,,,
PMI,,Red Cross/Red Crescent,Donggala,Balaesang,Lombonga,Lambonga,Health,Health,Completed,Mobile clinic,Oct-16-2018,Oct-16-2018,,,persons,158,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Palu,Balaesang Tanjung,Kamonji,Masjid Agung,WASH,WASH,Completed,Distribution,Oct-07-2018,Oct-07-2018,,,litres,2500,,clean water (litres)
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Labuan Bajo,Rt 2 Rw 2,Health,Health,Completed,Distribution,Oct-15-2018,Oct-15-2018,,,items,70,,hygiene kit
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Gunung Bale,Lapangan Gunung Bale,Health,Health,Completed,Mobile clinic,Oct-03-2018,Oct-03-2018,,,persons,62,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Gunung Bale,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-04-2018,Oct-04-2018,,,persons,46,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Gunung Bale,Tempat Pengungsian,Health,Health,Completed,Mobile clinic,Oct-05-2018,Oct-05-2018,,,persons,5,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boya,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-05-2018,Oct-05-2018,,,persons,49,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boya,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-06-2018,Oct-06-2018,,,persons,29,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Kabonga Kecil,Tempat Pengungsian,Health,Health,Completed,Mobile clinic,Oct-07-2018,Oct-07-2018,,,persons,67,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Kabonga Kecil,Belakang Kantor Lurah,Health,Health,Completed,Mobile clinic,Oct-07-2018,Oct-07-2018,,,persons,66,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boya,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-08-2018,Oct-08-2018,,,persons,9,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boneoge,Boneoge,Health,Health,Completed,Mobile clinic,Oct-09-2018,Oct-09-2018,,,persons,64,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boya,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-11-2018,Oct-11-2018,,,persons,11,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Boya,Markas Pmi Donggala,Health,Health,Completed,Mobile clinic,Oct-12-2018,Oct-12-2018,,,persons,19,,mobile clinic patients
PMI,,Red Cross/Red Crescent,Donggala,Banawa,Loli Saluran,Pengungsian,Health,Health,Completed,Mobile clinic,Oct-12-2018,Oct-12-2018,,,persons,8,,mobile clinic patients
